,title,audience_score,number_of_audience_ratings,ranking,critic_score,number_of_critic_ratings
0,12 Angry Men (Twelve Angry Men) (1957),97,103672,53,100,49
1,12 Years a Slave (2013),90,138789,29,96,316
2,A Hard Day's Night (1964),89,50067,22,98,104
3,A Streetcar Named Desire (1951),90,54761,60,98,54
4,Alien (1979),94,457186,48,97,104
5,All About Eve (1950),94,44564,7,100,64
6,All Quiet on the Western Front (1930),89,17768,56,100,40
7,Apocalypse Now (1979),94,284606,89,98,80
8,Argo (2012),90,207373,40,96,313
9,Army of Shadows (L'Armée des ombres) (1969),94,7011,57,97,73
10,Arrival (2016),82,78740,58,94,333
11,Baby Driver (2017),89,48114,59,93,283
12,Battleship Potemkin (1925),85,18709,100,100,45
13,Bicycle Thieves (Ladri di biciclette) (1949),94,33723,49,98,56
14,Boyhood (2014),81,88478,15,98,283
15,Brooklyn (2015),87,45763,74,97,243
16,Casablanca (1942),95,355952,16,97,74
17,Citizen Kane (1941),90,157274,2,100,75
18,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),94,208215,64,99,74
19,Dunkirk (2017),82,53555,26,93,337
20,E.T. The Extra-Terrestrial (1982),72,32313030,11,98,114
21,Finding Nemo (2003),86,33355673,73,99,256
22,Frankenstein (1931),87,41140,65,100,45
23,Get Out (2017),87,63837,4,99,282
24,Gone With the Wind (1939),93,292794,78,94,83
25,Gravity (2013),80,301261,30,96,315
26,Harry Potter and the Deathly Hallows - Part 2 (2011),89,389431,93,96,314
27,Hell or High Water (2016),88,37738,83,97,237
28,High Noon (1952),89,25065,88,96,50
29,Inside Out (2015),89,133558,8,98,324
30,It Happened One Night (1934),93,33106,13,98,52
31,Jaws (1975),90,942217,97,97,74
32,King Kong (1933),86,89669,32,98,54
33,L.A. Confidential (1997),94,149772,77,99,108
34,La Grande illusion (Grand Illusion) (1938),92,11490,23,97,63
35,La La Land (2016),82,67325,86,92,358
36,Laura (1944),91,10481,19,100,60
37,Logan (2017),91,86540,55,93,309
38,M (1931),95,35778,45,100,51
39,Mad Max: Fury Road (2015),86,123937,5,97,370
40,Man on Wire (2008),87,29827,96,100,156
41,Manchester by the Sea (2016),77,48189,63,96,278
42,Metropolis (1927),92,62018,10,99,116
43,Modern Times (1936),95,39736,12,100,53
44,Moonlight (2016),80,41956,17,98,292
45,North by Northwest (1959),94,78793,24,100,65
46,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",87,47463,20,97,62
47,On the Waterfront (1954),95,51664,90,98,61
48,Open City (1946),92,6128,81,100,41
49,Pinocchio (1940),72,278682,84,100,45
50,Psycho (1960),94,238259,18,97,86
51,Rashômon (1951),93,47657,35,100,50
52,Rear Window (1954),95,149458,36,100,63
53,Rebecca (1940),92,39026,71,100,48
54,Repulsion (1965),87,18655,28,100,60
55,Roman Holiday (1953),94,62895,95,98,52
56,Rosemary's Baby (1968),87,72669,72,99,69
57,Selma (2015),86,60533,37,99,236
58,Seven Samurai (Shichinin no Samurai) (1956),97,90049,50,100,57
59,Singin' in the Rain (1952),95,137643,14,100,49
60,Skyfall (2012),86,372497,80,93,349
61,Snow White and the Seven Dwarfs (1937),78,469510,21,98,47
62,Spotlight (2015),93,68142,33,96,311
63,Star Trek (2009),91,746458,87,95,336
64,Star Wars: Episode VII - The Force Awakens (2015),89,222789,62,92,370
65,Sunset Boulevard (1950),95,52783,31,98,60
66,Taxi Driver (1976),93,258405,38,99,77
67,The 39 Steps (1935),86,23647,76,98,44
68,The 400 Blows (Les Quatre cents coups) (1959),94,38368,54,100,54
69,The Adventures of Robin Hood (1938),89,33584,34,100,45
70,The Babadook (2014),72,37024,69,98,214
71,The Battle of Algiers (La Battaglia di Algeri) (1967),95,14267,25,99,83
72,The Big Sick (2017),90,23391,42,98,217
73,The Bride of Frankenstein (1935),87,24471,43,100,41
74,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),89,27163,6,100,49
75,The Conformist (1970),91,8529,70,100,50
76,The Dark Knight (2008),94,1827436,67,94,325
77,The Godfather (1972),98,730433,9,99,85
78,"The Godfather, Part II (1974)",97,409574,99,97,72
79,"The Good, the Bad and the Ugly (1966)",97,238420,79,97,68
80,The Grapes of Wrath (1940),88,23954,94,100,43
81,The Jungle Book (2016),86,92856,85,95,284
82,The Last Picture Show (1971),90,13893,92,100,51
83,The Maltese Falcon (1941),91,57268,27,100,50
84,The Night of the Hunter (1955),90,24322,61,98,64
85,The Philadelphia Story (1940),93,46810,47,100,54
86,The Third Man (1949),93,53081,3,100,77
87,The Treasure of the Sierra Madre (1948),93,25627,51,100,45
88,The Wages of Fear (1953),95,8536,91,100,40
89,The Wizard of Oz (1939),89,874425,1,99,110
90,The Wrestler (2008),88,139795,75,98,222
91,Tokyo Story (Tôkyô monogatari) (1953),93,11325,82,100,42
92,Touch of Evil (1958),92,30867,68,96,70
93,Toy Story (1995),92,1107731,98,100,78
94,Toy Story 2 (1999),86,998186,41,100,163
95,Toy Story 3 (2010),89,605098,39,99,291
96,Up (2009),90,1201878,52,98,286
97,Vertigo (1958),93,101454,66,97,64
98,Wonder Woman (2017),90,112955,46,92,333
99,Zootopia (2016),92,98633,44,98,249
